Sample,X,Y,Z,Cluster
TCGA-2Y-A9GY-01A,167.52960275306,60.9322993183087,20.4582112591345,1
TCGA-2Y-A9HA-01A,154.369968892414,57.6035334417926,26.2619822521783,1
TCGA-5C-AAPD-01A,156.366905873132,56.5992674791179,27.4874408974342,1
TCGA-5R-AA1C-01A,166.714996374091,63.7781365646864,13.3204741890964,1
TCGA-5R-AAAM-01A,163.546684292134,53.474279243033,26.94944273601,1
TCGA-BC-4073-01B,159.025072190444,62.6482034732842,22.4716039592485,1
TCGA-BC-A10R-01A,162.418300790962,47.9175345197465,23.5921510896195,1
TCGA-BC-A3KF-01A,156.592451528771,48.8796451310499,16.07891591502,1
TCGA-CC-5258-01A,156.70504629972,62.0874452158875,14.1088843022887,1
TCGA-CC-5259-01A,165.672099008368,59.8146610314339,12.5596526096391,1
TCGA-CC-5263-01A,157.899155040609,54.9654926471845,15.002704288815,1
TCGA-CC-5264-01A,157.417717745565,51.233034233904,13.1485753139543,1
TCGA-CC-A3MB-01A,155.85567030063,71.2293857546571,26.560730333723,1
TCGA-CC-A5UC-01A,154.621162789284,52.1561720633759,26.3463819016884,1
TCGA-CC-A7IK-01A,161.808700812873,54.9566600726147,15.7114222541376,1
TCGA-CC-A8HS-01A,153.552154409088,61.9592565215418,19.6821638855765,1
TCGA-CC-A8HT-01A,156.623257430102,65.1087670503897,15.7587734497688,1
TCGA-CC-A8HU-01A,165.544692908686,55.5898134127027,12.7623185400594,1
TCGA-CC-A9FU-01A,149.868060337166,65.0099621808752,30.1615291320527,1
TCGA-DD-A11D-01A,165.455182166607,47.7764355555672,6.3717713933344,1
TCGA-DD-A1EA-01A,165.8139050237,61.821684177066,17.8920177067905,1
TCGA-DD-A1EB-01A,167.374737924597,62.4167448473837,11.0072601432343,1
TCGA-DD-A1EC-01A,165.355306699745,47.7776207788373,21.847941739366,1
TCGA-DD-A1EI-01A,159.792421124493,52.8550063526583,11.9801147987805,1
TCGA-DD-A1EJ-01A,161.42059513357,57.3054409281709,22.2604784646309,1
TCGA-DD-A1EL-01A,164.599402841141,64.6686958441403,20.1772653894923,1
TCGA-DD-A39W-01A,164.29840122672,65.9427794362662,11.5491689488728,1
TCGA-DD-A39Y-01A,159.010653218044,55.1601191792448,24.1265542470623,1
TCGA-DD-A4NA-01A,155.285842602169,63.4566641838976,18.0186254169029,1
TCGA-DD-A4NF-01A,167.139736613064,59.4946641003946,10.3686705689863,1
TCGA-DD-A4NG-01A,164.139383537769,69.9359076297184,15.6415733306642,1
TCGA-DD-A4NO-01A,157.316213046098,50.5893189753562,22.2842929115073,1
TCGA-DD-A73A-01A,159.952596999878,58.982148317346,20.6213591431255,1
TCGA-DD-A73D-01A,156.764786313809,60.9894179956484,22.0935998625658,1
TCGA-DD-A73E-01A,168.202882616273,48.5651631422759,21.7502212610763,1
TCGA-DD-AACA-01A,155.849990717206,52.9033849905257,26.0162716222884,1
TCGA-DD-AACB-01A,152.395139152707,67.6987639843088,22.2244181544427,1
TCGA-DD-AACE-01A,154.008129872144,58.5978787452043,20.7329506058362,1
TCGA-DD-AACF-01A,162.348917398102,50.9008929787048,16.8052223190552,1
TCGA-DD-AACG-01A,151.759905103956,56.2215743276669,19.997989432842,1
TCGA-DD-AACL-01A,159.077040214843,71.5798505745093,26.4222954143927,1
TCGA-DD-AACX-01A,163.6145470016,42.3335088808726,28.2306470095682,1
TCGA-DD-AACZ-01A,166.931180869866,58.1002433258021,17.8768713375988,1
TCGA-DD-AAD3-01A,162.616993229698,55.1582661436652,23.8863664273913,1
TCGA-DD-AADA-01A,167.115178568607,57.5047066171332,19.5828079267888,1
TCGA-DD-AADD-01A,161.646148425934,65.0097878258632,20.5530992788855,1
TCGA-DD-AADG-01A,156.839820990495,48.9367018556486,21.355155340659,1
TCGA-DD-AADL-01A,163.543325069609,60.1683021845685,26.5938443926774,1
TCGA-DD-AADR-01A,159.160940870659,68.4121034983848,21.9649818212536,1
TCGA-DD-AADV-01A,150.219244117392,55.2396980127226,16.9325040082697,1
TCGA-DD-AADW-01A,168.343757949521,61.0265815224222,7.71049066792046,1
TCGA-DD-AADY-01A,164.298075277199,64.333675381467,23.3883043560231,1
TCGA-DD-AAE1-01A,159.427358980092,62.9496872460953,8.05905577279006,1
TCGA-DD-AAE9-01A,157.940838722107,62.8046327732604,21.3655364424399,1
TCGA-DD-AAED-01A,157.435951655539,58.0488363849832,17.4676226808804,1
TCGA-DD-AAEE-01A,153.89726070934,46.1508707160498,28.0573958219005,1
TCGA-DD-AAEG-01A,157.613637584482,48.4161687399216,8.14983611559725,1
TCGA-DD-AAEI-01A,161.378408843396,60.6379834363969,24.3351547618626,1
TCGA-DD-AAVP-01A,166.30139900181,60.6787991077687,18.7490129536695,1
TCGA-DD-AAVW-01A,168.754475630448,57.4742315147818,11.0889763006601,1
TCGA-DD-AAW1-01A,172.256024000826,42.7592262492131,18.3458930267109,1
TCGA-DD-AAW2-01A,165.084684583519,68.6401021353325,12.3757850170706,1
TCGA-DD-AAW3-01A,160.153380875807,51.9765350676981,16.6078336158806,1
TCGA-ED-A459-01A,164.76677036718,61.8955905312682,16.1438804663331,1
TCGA-ED-A7XP-01A,158.650311561551,67.6816341564375,16.9371517819105,1
TCGA-ED-A8O6-01A,153.219183576956,61.9584231520591,29.0608781836504,1
TCGA-EP-A12J-01A,158.894538479075,61.6384652299667,23.5670634245557,1
TCGA-EP-A2KC-01A,167.406014973997,57.5048107800999,19.1899598960836,1
